Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
22250	97	17	0	11	0	0	21	36996	33	0	0	25259	1	24910	53	41568	2	55770	0	56130	19808
22500	23	25	0	3	0	0	4	37729	4	106	0	25459	1	24998	0	43054	73	56334	0	56378	20258
22750	17	17	0	3	0	3	2	39002	3	0	0	25731	2	25248	0	41585	0	56462	0	56231	20214
23000	18	10	0	3	0	0	1	40463	1	0	0	26042	0	25499	0	41353	10	57037	0	56384	26960
23250	20	152	0	21	1	0	3	40758	3	0	0	26488	0	25641	0	42318	2	57770	0	63670	20662
23500	12	16	0	4	0	1	0	40666	2	0	0	26129	0	25469	0	43178	1	57963	0	57561	20939
23750	103	8	0	110	91	0	0	41646	0	1	0	26030	96	25789	0	42826	53	58936	1	59182	21173
24000	47	6	0	9	14	0	2	41624	46	0	1	27142	22	26043	98	45599	36	59213	0	64079	21377
24250	17	8	0	4	1	0	0	43388	4	0	0	27735	1	26313	0	46297	5	64909	0	65575	21588
24500	22	16	0	7	0	3	3	45700	2	2	0	27672	3	26519	1	46590	1	60452	0	60060	21866
24750	13	14	0	40	0	0	0	42918	2	1	0	27909	2	26787	0	45683	0	61154	0	60937	22228
25000	18	5	0	35	0	0	0	42872	2	0	0	28129	3	27121	0	44034	5	61886	0	64323	22259
25250	103	16	0	71	1	0	0	43060	2	0	0	28442	3	27315	1	44364	1	62468	0	63207	22610
25500	20	11	0	44	1	0	0	43784	2	1	0	28748	7	27566	0	44746	4	63607	0	63669	22811
25750	17	14	0	173	91	157	0	42922	104	1	0	29430	122	27855	0	45355	30	64543	25	63201	23351
26000	17	13	0	13	2	0	118	44106	3	7	0	29391	1	28113	0	45452	0	64718	0	69380	26437
26250	18	122	0	7	0	0	0	44196	2	0	0	29346	3	28388	0	46144	4	64959	0	69683	23360
