Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
74750	91	156	0	1	3	0	0	405689	13	2	0	414567	4	374884	0	364208	35	357412	0	233470	118874
75000	192	152	0	1	1	0	0	363330	112	2	0	453570	1	445819	0	383424	9	361390	0	222284	105806
75250	96	148	0	3	2	0	0	381143	12	5	0	434396	1	441516	0	362292	7	343586	0	241985	106831
75500	83	155	0	1	1	0	0	429764	13	2	0	543361	1	456086	0	393908	7	279903	0	254479	108225
75750	85	148	0	1	1	0	1	386043	43	1	0	581583	5	427533	0	368624	7	248654	0	233456	108286
76000	70	162	0	4	0	1	0	394242	9	4	0	501198	105	419660	0	390499	6	225162	0	225554	108905
76250	96	151	0	106	101	0	0	419597	10	3	0	472053	1	442683	1	391029	8	254755	0	216605	108471
76500	190	172	0	4	0	1	0	390794	6	4	0	483963	1	402513	335	384797	6	334467	1	219249	111805
76750	95	169	0	3	0	0	1	400511	109	20	0	463391	0	467699	1	357371	88	235434	0	230973	110932
77000	85	158	0	4	0	0	0	395153	11	5	0	490024	1	420360	0	394213	58	217905	0	216583	140368
77250	91	152	0	1	1	0	0	405620	8	5	0	467032	4	478082	1	404776	7	217579	0	219044	114821
77500	83	160	0	1	1	0	0	515985	14	6	0	489789	1	421856	0	434058	6	233058	0	220967	118347
77750	93	163	0	1	0	0	0	379084	8	9	0	472046	2	440127	0	410459	9	216389	0	230159	116373
78000	188	156	0	3	1	3	0	384359	12	2	0	479107	108	497655	1	377707	6	238903	0	229186	114603
78250	98	162	0	105	105	0	0	406686	12	2	0	508161	2	487952	0	429722	58	236415	0	222374	116338
78500	83	162	0	3	5	0	341	372566	108	3	0	496355	2	495713	0	384127	8	231687	0	223838	114937
78750	90	166	0	3	0	0	0	411963	13	28	0	550829	2	448954	1	382251	35	231172	0	225536	120016
79000	79	173	0	1	0	0	0	380960	12	3	0	478140	2	547542	1	436940	6	276595	1	237751	117342
